"Start time UTC","End time UTC","Start time UTC+02:00","End time UTC+02:00","Wind power generation - hourly data"
"2021-12-31 22:00:00","2021-12-31 23:00:00","2022-01-01 00:00:00","2022-01-01 01:00:00","1320.0"
"2021-12-31 23:00:00","2022-01-01 00:00:00","2022-01-01 01:00:00","2022-01-01 02:00:00","1450.0"
"2022-01-01 00:00:00","2022-01-01 01:00:00","2022-01-01 02:00:00","2022-01-01 03:00:00","1539.0"
"2022-01-01 01:00:00","2022-01-01 02:00:00","2022-01-01 03:00:00","2022-01-01 04:00:00","1591.0"
"2022-01-01 02:00:00","2022-01-01 03:00:00","2022-01-01 04:00:00","2022-01-01 05:00:00","1749.0"
"2022-01-01 03:00:00","2022-01-01 04:00:00","2022-01-01 05:00:00","2022-01-01 06:00:00","1807.0"
"2022-01-01 04:00:00","2022-01-01 05:00:00","2022-01-01 06:00:00","2022-01-01 07:00:00","1898.0"
"2022-01-01 05:00:00","2022-01-01 06:00:00","2022-01-01 07:00:00","2022-01-01 08:00:00","2014.0"
"2022-01-01 06:00:00","2022-01-01 07:00:00","2022-01-01 08:00:00","2022-01-01 09:00:00","1990.0"
"2022-01-01 07:00:00","2022-01-01 08:00:00","2022-01-01 09:00:00","2022-01-01 10:00:00","1976.0"
"2022-01-01 08:00:00","2022-01-01 09:00:00","2022-01-01 10:00:00","2022-01-01 11:00:00","1952.0"
"2022-01-01 09:00:00","2022-01-01 10:00:00","2022-01-01 11:00:00","2022-01-01 12:00:00","1925.0"
"2022-01-01 10:00:00","2022-01-01 11:00:00","2022-01-01 12:00:00","2022-01-01 13:00:00","1802.0"
"2022-01-01 11:00:00","2022-01-01 12:00:00","2022-01-01 13:00:00","2022-01-01 14:00:00","1812.0"
"2022-01-01 12:00:00","2022-01-01 13:00:00","2022-01-01 14:00:00","2022-01-01 15:00:00","1936.0"
"2022-01-01 13:00:00","2022-01-01 14:00:00","2022-01-01 15:00:00","2022-01-01 16:00:00","1875.0"
"2022-01-01 14:00:00","2022-01-01 15:00:00","2022-01-01 16:00:00","2022-01-01 17:00:00","1808.0"
"2022-01-01 15:00:00","2022-01-01 16:00:00","2022-01-01 17:00:00","2022-01-01 18:00:00","1697.0"
"2022-01-01 16:00:00","2022-01-01 17:00:00","2022-01-01 18:00:00","2022-01-01 19:00:00","1573.0"
"2022-01-01 17:00:00","2022-01-01 18:00:00","2022-01-01 19:00:00","2022-01-01 20:00:00","1428.0"
"2022-01-01 18:00:00","2022-01-01 19:00:00","2022-01-01 20:00:00","2022-01-01 21:00:00","1218.0"
"2022-01-01 19:00:00","2022-01-01 20:00:00","2022-01-01 21:00:00","2022-01-01 22:00:00","1020.0"
"2022-01-01 20:00:00","2022-01-01 21:00:00","2022-01-01 22:00:00","2022-01-01 23:00:00","878.0"
"2022-01-01 21:00:00","2022-01-01 22:00:00","2022-01-01 23:00:00","2022-01-02 00:00:00","703.0"
"2022-01-01 22:00:00","2022-01-01 23:00:00","2022-01-02 00:00:00","2022-01-02 01:00:00","512.0"
"2022-01-01 23:00:00","2022-01-02 00:00:00","2022-01-02 01:00:00","2022-01-02 02:00:00","463.0"
"2022-01-02 00:00:00","2022-01-02 01:00:00","2022-01-02 02:00:00","2022-01-02 03:00:00","601.0"
"2022-01-02 01:00:00","2022-01-02 02:00:00","2022-01-02 03:00:00","2022-01-02 04:00:00","803.0"
"2022-01-02 02:00:00","2022-01-02 03:00:00","2022-01-02 04:00:00","2022-01-02 05:00:00","876.0"
"2022-01-02 03:00:00","2022-01-02 04:00:00","2022-01-02 05:00:00","2022-01-02 06:00:00","974.0"
"2022-01-02 04:00:00","2022-01-02 05:00:00","2022-01-02 06:00:00","2022-01-02 07:00:00","1089.0"
"2022-01-02 05:00:00","2022-01-02 06:00:00","2022-01-02 07:00:00","2022-01-02 08:00:00","1156.0"
"2022-01-02 06:00:00","2022-01-02 07:00:00","2022-01-02 08:00:00","2022-01-02 09:00:00","1338.0"
